epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9221,1.32442,2.67398,1.79645,0.41415,0.51026,0.35366,0.14254,2.14918,3.88092,3.0499,0.000548055,0.000548055,0.000548055
2,64.2081,1.46854,1.79162,1.87017,0.06564,0.22595,0.03958,0.01779,2.93244,5.70497,3.96422,0.00104909,0.00104909,0.00104909
3,91.8449,1.46878,1.79755,1.88161,0.21674,0.45373,0.25097,0.1005,1.95802,3.38071,2.80538,0.00149511,0.00149511,0.00149511
4,120.778,1.37432,1.66742,1.80409,0.33791,0.44361,0.31436,0.1406,1.97149,2.25982,3.02412,0.00141945,0.00141945,0.00141945
5,148.553,1.35932,1.61151,1.77664,0.38429,0.6365,0.46931,0.21476,1.94176,2.4568,2.63708,0.00133693,0.00133693,0.00133693
6,177.829,1.32142,1.49507,1.75526,0.71876,0.44729,0.5925,0.32881,1.48043,1.50078,2.04633,0.00125442,0.00125442,0.00125442
7,205.493,1.25059,1.39336,1.68222,0.81793,0.6626,0.77469,0.41414,1.48183,1.49042,2.34553,0.0011719,0.0011719,0.0011719
8,235.398,1.2358,1.34553,1.66827,0.88472,0.76994,0.85625,0.48824,1.424,1.05477,2.01863,0.00108938,0.00108938,0.00108938
9,262.544,1.19415,1.27114,1.62826,0.84566,0.69509,0.84328,0.47014,1.38365,1.12755,1.99434,0.00100687,0.00100687,0.00100687
10,292.49,1.15668,1.19558,1.60521,0.76079,0.60591,0.77253,0.50314,1.23766,1.61338,1.82964,0.000924352,0.000924352,0.000924352
11,320.756,1.20426,0.99456,1.89109,0.86672,0.86725,0.90203,0.57341,1.20444,0.88018,1.78596,0.000841835,0.000841835,0.000841835
12,350.67,1.10561,0.8542,1.78131,0.88392,0.93742,0.94947,0.63209,1.12894,0.68187,1.73846,0.000759318,0.000759318,0.000759318
13,377.55,1.09278,0.79782,1.75882,0.92656,0.91677,0.95376,0.60373,1.12157,0.68408,1.68619,0.000676802,0.000676802,0.000676802
14,405.339,1.03105,0.73533,1.69891,0.9829,0.93184,0.97317,0.54725,1.23472,0.68939,1.84983,0.000594286,0.000594286,0.000594286
15,434.27,1.00589,0.67857,1.68891,0.972,0.93522,0.96094,0.67284,1.0423,0.57025,1.59991,0.000511769,0.000511769,0.000511769
16,460.85,0.99036,0.67028,1.65678,0.96666,0.93481,0.96506,0.69459,1.01006,0.5575,1.57102,0.000429253,0.000429253,0.000429253
17,489.763,0.96434,0.62483,1.63456,0.9787,0.90601,0.97223,0.71681,0.98338,0.55398,1.53415,0.000346736,0.000346736,0.000346736
18,517.209,0.91358,0.5684,1.57697,0.99754,0.9572,0.98254,0.75687,0.97233,0.50088,1.54968,0.00026422,0.00026422,0.00026422
19,544.348,0.8766,0.55619,1.54336,0.98132,0.9627,0.9823,0.75174,0.92877,0.47267,1.4863,0.000181703,0.000181703,0.000181703
20,573.222,0.83683,0.50887,1.49451,0.99565,0.95171,0.98019,0.76667,0.90889,0.44721,1.47684,9.91865e-05,9.91865e-05,9.91865e-05
