epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.746,1.52397,4.87266,2.21194,0.33288,0.40789,0.19485,0.09573,2.21439,22.2587,2.6787,0.000544981,0.000544981,0.000544981
2,49.3589,1.41238,1.59101,2.06234,0.2715,0.46695,0.2771,0.10574,2.18415,2.55534,2.96791,0.000991683,0.000991683,0.000991683
3,69.0753,1.45364,1.48809,2.10218,0.34882,0.38596,0.33179,0.18289,2.49379,2.41279,3.49912,0.00132836,0.00132836,0.00132836
4,88.3013,1.40263,1.32805,2.04211,0.86239,0.33333,0.39868,0.14186,2.62514,2.91626,3.57914,0.0011719,0.0011719,0.0011719
5,107.536,1.34583,1.15433,1.97102,0.84401,0.55579,0.71104,0.37803,1.78654,1.99826,2.31621,0.00100687,0.00100687,0.00100687
6,127.08,1.24255,1.03637,1.86875,0.77026,0.81854,0.826,0.38727,1.73493,1.37707,2.38907,0.000841835,0.000841835,0.000841835
7,146.383,1.21556,0.91448,1.83294,0.4467,0.73246,0.69708,0.399,1.98864,1.39527,2.69913,0.000676802,0.000676802,0.000676802
8,164.634,1.15454,0.81692,1.77592,0.86764,0.92105,0.95242,0.59155,1.54621,0.90272,2.07078,0.000511769,0.000511769,0.000511769
9,184.233,1.07729,0.72476,1.68742,0.68185,0.86848,0.89817,0.57569,1.4276,1.16895,1.98685,0.000346736,0.000346736,0.000346736
10,203.135,1.04284,0.69079,1.63514,0.79583,0.91865,0.91146,0.61057,1.3803,0.81724,1.82979,0.000181703,0.000181703,0.000181703
