epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5901,1.35653,2.61718,1.80701,0.51198,0.58603,0.47218,0.24589,2.07315,2.80792,2.60679,0.000548543,0.000548543,0.000548543
2,67.9206,1.38904,1.6618,1.81846,0.19914,0.21053,0.13441,0.0294,3.06589,5.69222,3.66981,0.00104955,0.00104955,0.00104955
3,95.7758,1.41073,1.66362,1.82018,0.42611,0.42469,0.37301,0.20997,2.37993,3.23368,2.80315,0.00149555,0.00149555,0.00149555
4,127.364,1.36104,1.58211,1.78762,0.47549,0.39912,0.37253,0.17941,1.98558,2.18548,2.64797,0.00141945,0.00141945,0.00141945
5,155.554,1.33244,1.49686,1.74231,0.58946,0.67105,0.65939,0.31931,1.84831,1.9536,2.59558,0.00133693,0.00133693,0.00133693
6,186.12,1.2714,1.40086,1.70527,0.89959,0.67105,0.69821,0.40997,1.84244,1.20423,2.46641,0.00125442,0.00125442,0.00125442
7,214.74,1.22578,1.35225,1.66441,0.75891,0.75877,0.83762,0.4061,1.8159,1.4672,2.33914,0.0011719,0.0011719,0.0011719
8,246.639,1.20748,1.27564,1.646,0.87822,0.67453,0.85107,0.51727,1.59509,1.18175,2.20204,0.00108938,0.00108938,0.00108938
9,275.021,1.18598,1.22947,1.62091,0.89421,0.79866,0.83428,0.41751,2.0633,0.9881,2.65978,0.00100687,0.00100687,0.00100687
10,305.965,1.13437,1.18123,1.58974,0.83533,0.90077,0.94447,0.65324,1.19271,0.65277,1.78062,0.000924352,0.000924352,0.000924352
11,336.171,1.1038,0.92279,1.78075,0.86148,0.94737,0.95833,0.68406,1.20601,0.76414,1.7449,0.000841835,0.000841835,0.000841835
12,367.011,1.08642,0.78298,1.76211,0.98002,0.94737,0.98577,0.61086,1.44004,0.7063,1.99616,0.000759318,0.000759318,0.000759318
13,395.148,1.05685,0.76657,1.72886,0.70855,0.85868,0.96827,0.64467,1.43686,0.97422,1.89397,0.000676802,0.000676802,0.000676802
14,425.308,1.00256,0.69854,1.67249,0.92236,0.89683,0.96725,0.67682,1.25916,0.72224,1.75815,0.000594286,0.000594286,0.000594286
15,452.288,0.96406,0.64356,1.62827,0.86217,0.80267,0.93365,0.55233,1.46665,0.80343,1.95728,0.000511769,0.000511769,0.000511769
16,483.267,0.93027,0.59938,1.59274,0.97724,0.93267,0.98729,0.71,1.11324,0.63111,1.61754,0.000429253,0.000429253,0.000429253
17,510.932,0.90385,0.57547,1.55939,0.99739,0.99943,0.995,0.71248,1.0973,0.55051,1.59356,0.000346736,0.000346736,0.000346736
18,540.746,0.84667,0.55748,1.52163,0.99285,0.95969,0.995,0.71833,1.10714,0.49653,1.59085,0.00026422,0.00026422,0.00026422
19,569.37,0.8173,0.49935,1.49777,0.98609,0.97421,0.995,0.72991,1.01131,0.50099,1.54718,0.000181703,0.000181703,0.000181703
20,598.117,0.78663,0.47928,1.45389,0.99223,0.97303,0.99375,0.74754,0.94893,0.46905,1.4755,9.91865e-05,9.91865e-05,9.91865e-05
