epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9682,0.79921,1.32007,1.23495,0.70396,0.70116,0.71438,0.52574,1.24588,1.24698,1.31377,0.000549052,0.000549052,0.000549052
2,39.3351,0.75421,0.88257,1.17528,0.39857,0.63077,0.62109,0.4668,1.4289,3.33838,1.50228,0.00108284,0.00108284,0.00108284
3,55.4763,0.79332,0.88702,1.1963,0.78812,0.65612,0.70565,0.49205,1.20606,1.50112,1.25127,0.00159463,0.00159463,0.00159463
4,71.5248,0.72438,0.80391,1.15092,0.53418,0.68994,0.64254,0.48065,1.19353,1.95966,1.12399,0.00156798,0.00156798,0.00156798
5,87.666,0.67114,0.75453,1.12834,0.60576,0.68128,0.74115,0.54336,1.39453,2.22707,1.26496,0.00153497,0.00153497,0.00153497
6,104.59,0.64177,0.70502,1.11267,0.76947,0.7741,0.84243,0.64815,1.00914,0.96088,0.9982,0.00150197,0.00150197,0.00150197
7,121.209,0.61884,0.65798,1.09707,0.61256,0.78226,0.82293,0.56416,1.15609,1.17178,1.06836,0.00146896,0.00146896,0.00146896
8,138.038,0.60584,0.64812,1.08897,0.81622,0.8,0.86508,0.66967,1.03841,0.94397,1.01189,0.00143595,0.00143595,0.00143595
9,154.243,0.58543,0.59785,1.07998,0.89652,0.80045,0.86491,0.67058,1.05663,0.85028,1.02577,0.00140295,0.00140295,0.00140295
10,170.368,0.54913,0.58737,1.06242,0.83861,0.85208,0.87705,0.6636,1.10749,0.84374,1.00468,0.00136994,0.00136994,0.00136994
11,186.678,0.56869,0.57975,1.06573,0.85748,0.86376,0.91653,0.69727,1.0357,0.91868,1.00303,0.00133693,0.00133693,0.00133693
12,203.231,0.57042,0.56405,1.0683,0.8834,0.83752,0.89064,0.68922,0.96137,0.76681,0.92084,0.00130393,0.00130393,0.00130393
13,218.611,0.52512,0.55526,1.04754,0.91501,0.83565,0.89732,0.7153,0.89613,0.7551,0.8745,0.00127092,0.00127092,0.00127092
14,233.838,0.53821,0.54984,1.0556,0.85195,0.84946,0.88011,0.70051,0.96553,0.71513,0.93841,0.00123791,0.00123791,0.00123791
15,249.248,0.52169,0.50134,1.05458,0.86656,0.8869,0.90071,0.72276,0.91478,0.6165,0.89382,0.00120491,0.00120491,0.00120491
16,265.545,0.53083,0.50935,1.05015,0.86975,0.8684,0.89989,0.70883,0.9755,0.66723,0.93,0.0011719,0.0011719,0.0011719
17,281.886,0.52105,0.50679,1.04886,0.90326,0.85196,0.89289,0.72256,0.8783,0.68294,0.82097,0.00113889,0.00113889,0.00113889
18,298.821,0.49176,0.48393,1.0271,0.92337,0.86273,0.92595,0.75308,0.80015,0.60589,0.81578,0.00110589,0.00110589,0.00110589
19,317.213,0.52098,0.4748,1.04297,0.67317,0.85215,0.83701,0.64823,0.96669,0.82284,0.91913,0.00107288,0.00107288,0.00107288
20,339.753,0.51234,0.48872,1.03657,0.93432,0.82286,0.90395,0.72206,0.97946,0.66872,0.89751,0.00103987,0.00103987,0.00103987
21,362.425,0.50366,0.47742,1.02806,0.94712,0.88414,0.93148,0.73096,0.95653,0.59609,0.86098,0.00100687,0.00100687,0.00100687
22,385.09,0.48861,0.43922,1.02218,0.90427,0.88444,0.92447,0.75974,0.83525,0.57746,0.82454,0.000973861,0.000973861,0.000973861
23,407.701,0.46876,0.44774,1.01828,0.68096,0.85931,0.90133,0.72162,0.94237,0.93761,0.91535,0.000940855,0.000940855,0.000940855
24,428.949,0.45355,0.42777,1.00807,0.91688,0.88298,0.92373,0.75237,0.86373,0.59396,0.89841,0.000907848,0.000907848,0.000907848
25,445.174,0.47118,0.42346,1.01089,0.90197,0.89158,0.92203,0.75126,0.84172,0.55469,0.83606,0.000874842,0.000874842,0.000874842
26,461.338,0.46164,0.41209,1.01459,0.9416,0.87714,0.92635,0.75981,0.78596,0.52854,0.78966,0.000841835,0.000841835,0.000841835
27,476.767,0.44121,0.39808,1.00268,0.92331,0.87995,0.92999,0.76336,0.78496,0.53434,0.8004,0.000808828,0.000808828,0.000808828
28,491.95,0.44839,0.39426,1.00448,0.94449,0.84491,0.91364,0.75853,0.80055,0.60942,0.80822,0.000775822,0.000775822,0.000775822
29,507.519,0.4567,0.39297,0.99758,0.9324,0.84544,0.90842,0.75194,0.79397,0.54701,0.77066,0.000742815,0.000742815,0.000742815
30,523.674,0.43623,0.38047,1.00452,0.90911,0.90419,0.93388,0.75392,0.75224,0.52314,0.7941,0.000709809,0.000709809,0.000709809
31,539.99,0.42319,0.37363,0.99138,0.90312,0.87095,0.92214,0.76222,0.7915,0.46566,0.77487,0.000676802,0.000676802,0.000676802
32,556.501,0.41408,0.37005,0.9903,0.94868,0.87785,0.93427,0.76869,0.80749,0.54367,0.79902,0.000643795,0.000643795,0.000643795
33,573.018,0.41865,0.3714,0.99591,0.93268,0.88282,0.93387,0.76321,0.79441,0.5089,0.76812,0.000610789,0.000610789,0.000610789
34,590.053,0.40339,0.35219,0.97989,0.95233,0.86628,0.93075,0.76207,0.78048,0.48416,0.77526,0.000577782,0.000577782,0.000577782
35,606.804,0.41564,0.36154,0.99332,0.95356,0.84171,0.92777,0.75824,0.7681,0.5138,0.76418,0.000544776,0.000544776,0.000544776
36,623.072,0.42334,0.34854,0.98833,0.92801,0.87995,0.93618,0.76912,0.71517,0.4423,0.73877,0.000511769,0.000511769,0.000511769
37,638.852,0.41099,0.34756,0.98778,0.90243,0.91297,0.93873,0.77159,0.74165,0.43852,0.74746,0.000478762,0.000478762,0.000478762
38,654.119,0.39734,0.33715,0.97998,0.92212,0.89813,0.94065,0.76544,0.78236,0.47944,0.79346,0.000445756,0.000445756,0.000445756
39,669.605,0.39663,0.33859,0.97781,0.96583,0.85383,0.92977,0.77146,0.7362,0.44206,0.77875,0.000412749,0.000412749,0.000412749
40,685.048,0.38552,0.32783,0.97804,0.95584,0.87995,0.94104,0.77187,0.79162,0.4963,0.79277,0.000379743,0.000379743,0.000379743
41,702.005,0.44891,0.30473,0.98063,0.92248,0.87113,0.9284,0.76556,0.76568,0.46742,0.77164,0.000346736,0.000346736,0.000346736
42,718.109,0.41987,0.26023,0.97353,0.90886,0.90606,0.92425,0.77402,0.70951,0.41926,0.75641,0.000313729,0.000313729,0.000313729
43,736.563,0.40857,0.25192,0.97703,0.96373,0.87792,0.93536,0.72705,0.8003,0.55041,0.83144,0.000280723,0.000280723,0.000280723
44,753.178,0.39444,0.23994,0.96323,0.9607,0.87086,0.93202,0.77168,0.75455,0.54021,0.7947,0.000247716,0.000247716,0.000247716
45,769.114,0.39184,0.23349,0.95451,0.93371,0.88904,0.93445,0.7837,0.72912,0.45399,0.786,0.00021471,0.00021471,0.00021471
46,786.111,0.37621,0.2273,0.94799,0.90754,0.9127,0.93506,0.7794,0.71707,0.45353,0.75774,0.000181703,0.000181703,0.000181703
47,801.879,0.35281,0.21589,0.9359,0.94215,0.87703,0.92863,0.77795,0.7447,0.43378,0.80672,0.000148696,0.000148696,0.000148696
48,816.686,0.35244,0.2127,0.93432,0.97371,0.8634,0.93133,0.78041,0.70882,0.39993,0.76481,0.00011569,0.00011569,0.00011569
49,831.204,0.34708,0.20855,0.93675,0.92616,0.88842,0.93128,0.78015,0.71256,0.41472,0.77257,8.26832e-05,8.26832e-05,8.26832e-05
50,846.516,0.33798,0.20209,0.92119,0.96534,0.86265,0.92939,0.78854,0.68839,0.41488,0.75031,4.96766e-05,4.96766e-05,4.96766e-05
